Taxonomy,Res,Com,Ind
CR/LDUAL,11.269327345141601,12.640813364924758,13.336379287616861
CR/LDUAL/FC,10.733400718673025,12.608550495699443,12.984724996539239
CR/LFINF(CLBRH),10.578440320972156,12.131777092255778,13.044074318750859
CR/LFINF(CLBRH)/FC,10.051160685503579,12.090548705117097,12.694398026864487
CR/LFINF(CBH),11.310389330764524,13.047195685578242,14.066116635898547
CR/LWAL,11.960214369311046,13.149849637593737,13.628684256482858
CR/LWAL/FC,11.41564075184247,13.12655228628179,13.275051966213988
MR+CLBRH/LWAL,10.10096882332679,11.098996218473602,11.228111832958529
MR+CLBRH/LWAL/FC,9.68649759873306,10.73171086094075,10.840046383581162
MR+CLBRH/LWAL/RWO/FW,8.427356962089227,9.424930963224082,9.50929581265065
MR+CLBRH/LWAL/RWO/FM,10.057442991847749,11.055016992982603,11.092093610377923
MR+CLBRH/LWAL/RWO/FC,9.161287493339225,10.20614972650533,10.243226343900652
MR+CBH/LWAL,10.947926702445992,12.1562060131751,12.189953378138378
S+SR/LFBR,8.284876567253876,7.60784453937125,7.548324541247407
S+SR/LFINF,8.163480535426158,7.4795559535947085,7.47934539081524
S/LWAL,8.875632752277086,8.412079672927115,7.936785524172574
W/LFINF,5.486206532383852,5.512423304794247,6.180164754139097
W/LWAL,5.392729507754222,5.443367951775368,5.863916902515097
